genres,id,original_title
" ,  Animation,  ,  Comedy,  ,  Family",862,Toy Story
" ,  Adventure,  ,  Fantasy,  ,  Family",8844,Jumanji
" ,  Romance,  ,  Comedy",15602,Grumpier Old Men
" ,  Comedy,  ,  Drama,  ,  Romance",31357,Waiting to Exhale
" ,  Comedy",11862,Father of the Bride Part II
" ,  Action,  ,  Crime,  ,  Drama,  ,  Thriller",949,Heat
" ,  Comedy,  ,  Romance",11860,Sabrina
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Family",45325,Tom and Huck
" ,  Action,  ,  Adventure,  ,  Thriller",9091,Sudden Death
" ,  Adventure,  ,  Action,  ,  Thriller",710,GoldenEye
" ,  Comedy,  ,  Drama,  ,  Romance",9087,The American President
" ,  Comedy,  ,  Horror",12110,Dracula: Dead and Loving It
" ,  Family,  ,  Animation,  ,  Adventure",21032,Balto
" ,  History,  ,  Drama",10858,Nixon
" ,  Action,  ,  Adventure",1408,Cutthroat Island
" ,  Drama,  ,  Crime",524,Casino
" ,  Drama,  ,  Romance",4584,Sense and Sensibility
" ,  Crime,  ,  Comedy",5,Four Rooms
" ,  Crime,  ,  Comedy,  ,  Adventure",9273,Ace Ventura: When Nature Calls
" ,  Action,  ,  Comedy,  ,  Crime",11517,Money Train
" ,  Comedy,  ,  Thriller,  ,  Crime",8012,Get Shorty
" ,  Drama,  ,  Thriller",1710,Copycat
" ,  Action,  ,  Adventure,  ,  Crime,  ,  Thriller",9691,Assassins
" ,  Drama,  ,  Fantasy,  ,  Science Fiction,  ,  Thriller",12665,Powder
" ,  Drama,  ,  Romance",451,Leaving Las Vegas
" ,  Drama",16420,Othello
" ,  Comedy,  ,  Drama,  ,  Family",9263,Now and Then
" ,  Drama,  ,  Romance",17015,Persuasion
" ,  Fantasy,  ,  Science Fiction,  ,  Adventure",902,La Cité des Enfants Perdus
" ,  Drama,  ,  Crime",37557,摇啊摇，摇到外婆桥
" ,  Drama,  ,  Crime",9909,Dangerous Minds
" ,  Science Fiction,  ,  Thriller,  ,  Mystery",63,Twelve Monkeys
" ,  Romance,  ,  Adventure",78802,"Guillaumet, les ailes du courage"
" ,  Fantasy,  ,  Drama,  ,  Comedy,  ,  Family",9598,Babe
" ,  History,  ,  Drama,  ,  Romance",47018,Carrington
" ,  Drama",687,Dead Man Walking
" ,  Adventure,  ,  History,  ,  Drama,  ,  Family",139405,Across the Sea of Time
" ,  Comedy,  ,  Family,  ,  Romance",33689,It Takes Two
" ,  Comedy,  ,  Drama,  ,  Romance",9603,Clueless
" ,  Drama",34615,"Cry, the Beloved Country"
" ,  Drama,  ,  War",31174,Richard III
" ,  Action,  ,  Crime,  ,  Drama,  ,  History",11443,Dead Presidents
" ,  Drama,  ,  Romance",35196,Restoration
" ,  Action,  ,  Fantasy",9312,Mortal Kombat
" ,  Fantasy,  ,  Drama,  ,  Comedy,  ,  Thriller",577,To Die For
" ,  Drama,  ,  Romance",11861,How To Make An American Quilt
" ,  Crime,  ,  Mystery,  ,  Thriller",807,Se7en
" ,  Adventure,  ,  Animation,  ,  Drama,  ,  Family",10530,Pocahontas
" ,  Drama,  ,  Romance",8391,When Night Is Falling
" ,  Drama,  ,  Crime,  ,  Thriller",629,The Usual Suspects
" ,  Action,  ,  Thriller,  ,  Drama",117164,Guardian Angel
" ,  Comedy,  ,  Romance",11448,Mighty Aphrodite
" ,  Drama,  ,  Foreign",49133,Lamerica
" ,  Action,  ,  Adventure,  ,  Comedy,  ,  Family",26441,The Big Green
" ,  Drama",97406,Georgia
,124057,Kids of the Round Table
" ,  Comedy,  ,  Drama,  ,  Romance",9089,Home for the Holidays
" ,  Comedy,  ,  Drama,  ,  Romance",11010,Il postino
" ,  Thriller,  ,  Drama,  ,  Mystery",99040,Le confessionnal
" ,  Adventure,  ,  Family,  ,  Fantasy",11359,The Indian in the Cupboard
" ,  Drama,  ,  Thriller",17182,Eye for an Eye
" ,  Music,  ,  Drama,  ,  Family",2054,Mr. Holland's Opus
" ,  Comedy",10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
" ,  Comedy,  ,  Romance",19760,Two If by Sea
" ,  Comedy",9536,Bio-Dome
" ,  Action,  ,  Science Fiction",11525,Lawnmower Man 2: Beyond Cyberspace
" ,  Drama,  ,  Family",40628,Two Bits
" ,  Comedy,  ,  Romance",4482,Gazon maudit
" ,  Comedy",10634,Friday
" ,  Horror,  ,  Action,  ,  Thriller,  ,  Crime",755,From Dusk Till Dawn
" ,  Action,  ,  Thriller,  ,  Romance",11859,Fair Game
" ,  Comedy,  ,  Drama,  ,  Romance",28387,Kicking and Screaming
" ,  Drama,  ,  History",48750,Les misérables
" ,  Drama,  ,  Romance",20927,Bed of Roses
" ,  Comedy,  ,  Family",36929,Big Bully
" ,  Horror,  ,  Science Fiction",9102,Screamers
" ,  Documentary",124626,Nico Icon
" ,  Drama,  ,  Thriller",27526,The Crossing Guard
" ,  Drama,  ,  Thriller",9623,The Juror
" ,  Family,  ,  Drama",46785,بادکنک سفید
" ,  Drama,  ,  Crime",400,Things to Do in Denver When You're Dead
" ,  Drama,  ,  Comedy",880,Antonia
" ,  Romance,  ,  Drama",146599,Once Upon a Time... When We Were Colored
,188588,Last Summer in the Hamptons
" ,  Drama,  ,  Romance",8447,Angels and Insects
" ,  Action,  ,  Drama",10534,White Squall
" ,  Adventure,  ,  Comedy,  ,  Family",17414,Dunston Checks In
" ,  Comedy",13997,Black Sheep
" ,  Crime,  ,  Drama,  ,  Thriller",2086,Nick of Time
" ,  Drama",61548,The Journey of August King
" ,  Drama,  ,  Horror,  ,  Thriller,  ,  Romance",9095,Mary Reilly
" ,  Comedy,  ,  Horror,  ,  Romance",12158,Vampire in Brooklyn
" ,  Comedy,  ,  Drama,  ,  Romance",9283,Beautiful Girls
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Thriller",9208,Broken Arrow
" ,  Comedy",40154,A Midwinter's Tale
" ,  Drama",406,La Haine
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Science Fiction,  ,  Thriller",45549,Shopping
" ,  Documentary",63076,Heidi Fleiss: Hollywood Madam
" ,  Drama,  ,  Thriller",11062,City Hall
" ,  Comedy,  ,  Crime,  ,  Drama",13685,Bottle Rocket
" ,  Comedy,  ,  Romance",47475,Mr. Wrong
" ,  Drama,  ,  Mystery,  ,  Science Fiction,  ,  Thriller",2045,Unforgettable
" ,  Comedy",9614,Happy Gilmore
" ,  Drama,  ,  Romance",688,The Bridges of Madison County
" ,  Drama,  ,  Comedy,  ,  Family",11907,Keiner liebt mich
" ,  Action,  ,  Comedy,  ,  Music,  ,  Family,  ,  Adventure",10874,Muppet Treasure Island
" ,  Documentary",89333,Catwalk
" ,  Crime",96357,Headless Body in Topless Bar
" ,  Action,  ,  Drama,  ,  History,  ,  War",197,Braveheart
" ,  Crime,  ,  Drama",103,Taxi Driver
" ,  Crime,  ,  Action,  ,  Comedy,  ,  Thriller",33542,紅番區
" ,  Drama,  ,  Thriller",43566,Before and After
" ,  Drama",71754,Margaret's Museum
" ,  Comedy",43612,Le Bonheur est dans le pré
" ,  Documentary,  ,  Drama,  ,  Foreign",51352,Anne Frank Remembered
" ,  Comedy,  ,  Crime,  ,  Drama",16934,The Young Poisoner's Handbook
" ,  Comedy,  ,  Romance",10324,If Lucy Fell
" ,  Comedy,  ,  Drama",78406,Steal Big Steal Little
" ,  Action,  ,  Adventure,  ,  Comedy,  ,  Drama,  ,  Family",55731,Race the Sun
" ,  Drama",32119,The Boys of St. Vincent
" ,  Comedy,  ,  Romance",11066,Boomerang
" ,  Drama,  ,  Comedy,  ,  Romance",11104,重慶森林
" ,  Drama,  ,  Romance",37975,L'uomo delle stelle
" ,  Comedy,  ,  Romance",2074,Flirting with Disaster
" ,  Fantasy",27793,The NeverEnding Story III
" ,  Drama",44284,صمت القصور
,290157,Jupiter's Wife
" ,  Comedy,  ,  Romance",110972,Pie in the Sky
" ,  Comedy,  ,  Drama",32622,Angela
" ,  Drama,  ,  Romance,  ,  War",73067,Frankie Starlight
" ,  Action,  ,  Thriller,  ,  Mystery,  ,  Romance",11863,Jade
" ,  Comedy,  ,  Drama,  ,  Romance",55475,Nueba Yol
" ,  Music,  ,  Documentary",124636,Sonic Outlaws
" ,  Comedy",9101,Down Periscope
" ,  Documentary",123360,From the Journals of Jean Seberg
" ,  Comedy",5757,Man of the Year
" ,  Drama",39428,The Neon Bible
,124639,Target
" ,  Drama,  ,  Romance",9302,Up Close & Personal
" ,  Comedy",11000,The Birdcage
" ,  Drama",249882,Gospa
" ,  Comedy,  ,  Drama,  ,  Romance",16388,The Brothers McMullen
" ,  Action,  ,  Comedy,  ,  Crime,  ,  Thriller",9737,Bad Boys
" ,  Action,  ,  Adventure,  ,  Drama,  ,  Family",30765,The Amazing Panda Adventure
" ,  Drama,  ,  Crime",10474,The Basketball Diaries
" ,  Romance,  ,  Drama,  ,  Comedy",22279,An Awfully Big Adventure
" ,  Crime,  ,  Comedy,  ,  Drama,  ,  Thriller",30157,Amateur
" ,  Drama",568,Apollo 13
" ,  Adventure",11780,Rob Roy
" ,  Drama,  ,  Horror",34996,The Addiction
